Date,Price,Open,High,Low,Vol.,Change %,change
03/26/2024,"29,057.50","31,013.88","29,532.31","28,997.13",211.16M,-0.98%,Negative
03/25/2024,"29,344.46","31,013.88","29,344.46","28,946.14",1.19M,0.98%,Positive
03/24/2024,"29,060.02","31,013.88","29,377.43","28,777.22",1.75M,0.02%,Positive
03/21/2024,"29,054.96","31,013.88","29,094.10","28,280.76",2.80M,1.63%,Positive
03/20/2024,"28,589.37","28,675.70","29,229.67","28,542.99",177.70M,-0.30%,Negative
03/19/2024,"28,675.70","29,091.29","29,091.29","28,167.52",206.62M,-1.43%,Negative
03/18/2024,"29,091.29","31,061.88","31,065.50","29,091.29",250.35M,-6.34%,Negative
03/17/2024,"31,061.88","31,316.43","31,781.24","31,061.88",260.29M,-0.81%,Negative
03/14/2024,"31,316.43","31,013.88","31,594.31","29,959.19",215.08M,0.98%,Positive
03/13/2024,"31,013.88","32,661.61","32,746.61","30,485.21",324.64M,-5.04%,Negative
03/12/2024,"32,661.61","33,382.51","33,382.51","31,979.55",249.44M,-2.16%,Negative
03/11/2024,"33,382.51","32,919.95","34,499.42","32,919.95",357.31M,1.41%,Positive
03/10/2024,"32,919.95","31,300.54","33,062.98","31,300.54",396.58M,5.17%,Positive
03/07/2024,"31,300.54","29,743.11","31,300.54","29,743.11",287.31M,5.24%,Positive
03/06/2024,"29,743.11","30,668.89","32,217.79","29,743.11",433.39M,-3.02%,Negative
03/05/2024,"30,668.89","30,542.33","31,162.75","30,142.07",371.97M,0.41%,Positive
03/04/2024,"30,542.33","29,058.33","30,643.95","29,058.33",364.84M,5.11%,Positive
03/03/2024,"29,058.33","28,964.41","29,398.57","28,564.79",198.12M,0.32%,Positive
02/29/2024,"28,964.41","28,876.46","29,195.67","28,358.83",233.53M,0.30%,Positive
02/28/2024,"28,876.46","29,205.16","29,792.91","28,876.46",288.02M,-1.13%,Negative
02/27/2024,"29,205.16","28,931.92","30,035.83","28,931.92",475.08M,0.94%,Positive
02/26/2024,"28,931.92","27,840.86","29,341.16","27,806.45",432.94M,3.92%,Positive
02/25/2024,"27,840.86","29,309.73","29,309.73","27,106.26",500.65M,-5.01%,Negative
02/22/2024,"29,309.73","29,292.05","29,475.80","29,211.75",227.96M,0.06%,Positive
02/21/2024,"29,292.05","29,330.66","29,497.60","29,150.82",302.29M,-0.13%,Negative
02/20/2024,"29,330.66","29,452.40","29,660.61","29,323.75",500.74M,-0.41%,Negative
02/19/2024,"29,452.40","29,125.57","29,498.39","29,104.68",354.35M,1.12%,Positive
02/18/2024,"29,125.57","28,926.15","29,178.09","28,926.15",388.16M,0.69%,Positive
02/15/2024,"28,926.15","28,874.99","29,073.30","28,810.56",481.27M,0.18%,Positive
02/14/2024,"28,874.99","28,604.54","28,973.34","28,604.54",503.06M,0.95%,Positive
02/13/2024,"28,604.54","28,494.72","28,836.39","28,306.56",353.48M,0.39%,Positive
02/12/2024,"28,494.72","28,199.04","28,690.51","27,682.75",208.06M,1.05%,Positive
02/11/2024,"28,199.04","28,411.41","28,621.86","27,972.28",267.02M,-0.75%,Negative
02/08/2024,"28,411.41","27,905.95","28,411.41","27,864.33",243.42M,1.81%,Positive
