,Date,News,Sentiment
0,2024-03-26,Egypt's bourse fluctuates as Sunday and Monday gains offset by Tuesday decline,negative
1,2024-03-06,Egypt's bourse indexes reach record high following central bank's decision to raise interest rates,positive
2,2024-02-21,Egyptian Exchange indexes show mixed performance on Wednesday,negative
3,2024-02-11,EGX posts collective losses at close of Sunday trading,negative
4,2024-02-07,Egyptian Exchange gains over EGP 23 bln on Wednesday,positive
5,2024-02-01,EGX indices show week of fluctuations amid CBE interest rate anticipation,negative
6,2024-02-01,"Market watch: EGX100 exceeds 9,300 Points; gold pound coin reaches EGP 31,000",positive
7,2024-01-31,Marketwatch: EGX indices plunge on Wednesday; market cap loses EGP 153 bln,negative
8,2024-01-30,"Market watch: EGX30 surpasses 30,000 points on Tuesday; gold prices show stability",positive
9,2024-01-28,Market watch: Egypt's bourse reaches historic levels on Sunday; market cap exceeds EGP 2 tln,positive
10,2024-01-24,Fertilizers push EGX indices higher in week; market cap gains EGP 85 bln,positive
11,2024-01-24,"Marketwatch: The gold pound coin price exceeds EGP 30,000 on Wednesday",neutral
12,2024-01-23,Market watch: EGX loses EGP 17 bln on Tuesday; gold prices increase,negative
13,2024-01-22,"Marketwatch: Egypt bourse indices, gold prices break records on Monday",positive
14,2024-01-21,"Marketwatch: EGX30 peaks at 27,700 points on Sunday; 21-K gold hits EGP 3,510/gram",positive
15,2024-01-18,EGX Indices surge over 5% in a week driven by real estate and basic resources,positive
16,2024-01-18,Marketwatch: EGX100 surpasses 9000 points for first time ever at Thursday’s close,positive
17,2024-01-17,Marketwatch: Egypt bourse ends Wednesday in red,neutral
18,2024-01-16,"Marketwatch: Parallel FX market, EGX indices, gold hit new record highs on Tuesday",positive
19,2024-01-15,Marketwatch: EGX ends in green for second consecutive day,negative
20,2024-01-14,"Beltone, Evolve Holding launch new gold investment fund",neutral
21,2024-01-11,EGX ends week with slow gains as investors anticipate progress in IMF talks,negative
22,2024-01-11,Marketwatch: EGX ends Thursday in green; gold achieves slight gains,positive
23,2024-01-10,"Marketwatch: Egyptian stocks mixed, gold prices plummet",negative
24,2024-01-09,Marketwatch: EGX ends Tuesday in green; gold prices decline,neutral
25,2024-01-04,EGX market cap jumps 2.8 percent in first week of 2024,positive
26,2024-01-04,Marketwatch: EGX continues mixed performance on Thursday,negative
27,2024-01-03,Marketwatch: Egypt bourse closes Wednesday with mixed performance,negative
28,2024-01-02,A promising year on the Stock Exchange ,positive
