,Date,News,sentiment
0,2024-05-01,INTERVIEW: Bosnia's President Denis Bećirovića highlights commitment to strengthening ties with Egypt in first such visit in 14 years,positive
1,2024-04-30,"Egypt, Belarus sign MoUs to promote bilateral trade, investments",positive
2,2024-04-30,"Unification of FX in Egypt will attract Emirati, Saudi FDI: UAE-based Freezoner CEO",positive
3,2024-04-30,Beltone Investment Holding launches $100 mln private credit platform to support Egyptian exporters,positive
4,2024-04-24,"Austria, Czechia to establish $160 mln sodium cyanide production plant in Egypt ",neutral
5,2024-04-23,CBE to cut interest rates by 2% in May; inflation to decrease to 20% by end of 2024: Goldman Sachs,negative
6,2024-04-21,"UAE-based Freezoner, IFZA team up to showcase investment opportunities in Egypt, UAE, Saudi Arabia",positive
7,2024-04-21,Egypt won't consider any offers for Ras Gamila development until selection of advisory firm: Official,neutral
8,2024-04-17,"Beltone, Citadel to launch $30 mln fund for early-stage startups",neutral
9,2024-04-16,Disparities in economic recovery,neutral
10,2024-04-04,Egypt to host joint investment conference with EU 29-30 June,neutral
11,2024-04-04,"EBRD, Hassan Allam, Meridiam team up for developing renewable energy projects in Egypt",neutral
12,2024-04-01,"Egypt, New Zealand discuss fostering investments as they celebrate 50 years of diplomatic relations",neutral
13,2024-03-26,Big money bailout,neutral
14,2024-03-26,GAFI grants 6 golden licenses to companies for projects worth EGP 5.6 bln,positive
15,2024-03-19,"Egypt to impose strict limits on public investments, debt in FY 2024/25: Finance minister",neutral
16,2024-03-17,EU pledges €7.4 billion aid and investment package for Egypt ,positive
17,2024-03-04,Egypt seeks ‘immediate’ release of goods at ports after Ras El-Hekma deal,negative
18,2024-03-03,Magic Land Al-Hokair and EMPC launch EGP 1.1 bln ‘Tanza’ project in Egypt ,neutral
19,2024-03-02,INTERVIEW: Investing in AI Arabic language models can propel Egypt to the forefront of field,positive
20,2024-02-29,Egypt received $5 bln as 1st batch from Ras El-Hekma deal: PM Madbouly,neutral
21,2024-02-29,Editorial: Ras Al-Hikma to the rescue,neutral
22,2024-02-28,Egypt signs 7 MoUs in green hydrogen and renewable energy with giant global developers,positive
23,2024-02-28,Tennis: Saudi investment fund PIF buys into men's tennis in 'strategic' deal with ATP,positive
24,2024-02-28,Italian steelmaker Danieli proposes $4 bln project for building iron complex in Egypt,neutral
25,2024-02-27,A new dimension to tourism,neutral
26,2024-02-27,"Egypt, EIB to strengthen collaboration on sustainable development, economic growth",positive
27,2024-02-26,Minister Mashat to meet new EIB President Calviño in Luxemburg,neutral
28,2024-02-24,Explainer: All you need to know about the landmark multibillion-dollar Egypt-UAE Ras El-Hekma deal,neutral
29,2024-02-23,Egypt to sign 'largest-ever' direct investment partnership deal' on Friday: PM Madbouly ,positive
30,2024-02-21,German soccer league abandons investment deal after fan protests disrupt games,negative
31,2024-02-21,Egyptian Exchange indexes show mixed performance on Wednesday,negative
32,2024-02-20,Foreign investment and economic development,neutral
33,2024-02-19,Sisi lauds BP’s investments in Egyptian oil and gas sector ,positive
34,2024-02-17,"Bundesliga stars want end to chocolate coins, marble protests",neutral
35,2024-02-17,Misr Italia Properties Surpasses 2023 Sales Target with Total Contractual Sales Soaring to EGP 16.1bn,positive
